Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
"What you guys don't understand is, for us, kissing is as important as any part of it.",Monica,Joyful,1,0
"Yeah, right!.......Y'serious?",Joey,Neutral,1,1
"Oh, yeah!",Phoebe,Joyful,1,2
Everything you need to know is in that first kiss.,Rachel,Powerful,1,3
Absolutely.,Monica,Powerful,1,4
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Chandler,Joyful,1,5
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",Ross,Neutral,1,6
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Chandler,Mad,1,7
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",Rachel,Sad,1,8
....Are we still talking about sex?,Joey,Joyful,1,9
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",Ross,Scared,2,0
"Well, she has issues.",Marsha,Sad,2,1
Does she.,Ross,Scared,2,2
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",Marsha,Mad,2,3
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",Ross,Neutral,2,4
"Speaking of issues, isn't that your ex-wife?",Marsha,Mad,2,5
No. No.,Ross,Scared,2,7
"Yes, it is. Carol! Hi!",Marsha,Joyful,2,8
"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",Ross,Scared,2,9
Hi.,Ross,Neutral,2,11
So.,Carol,Neutral,2,12
"You look great. I, uh... I hate that.",Ross,Scared,2,13
Sorry. You look good too.,Carol,Joyful,2,14
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",Ross,Joyful,2,15
A lesbian?,Carol,Neutral,2,16
"Well... you never know. How's, um.. how's the family?",Ross,Peaceful,2,17
"Marty's still totally paranoid. Oh, and, uh-",Carol,Mad,2,18
"Why- why are you here, Carol?",Ross,Scared,2,19
I'm pregnant.,Carol,Neutral,2,20
Pregnant?!,Ross,Scared,2,21
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Ross,Neutral,6,0
Hi.,Susan,Neutral,6,2
"Ross, you remember Susan.",Carol,Neutral,6,3
How could I forget?,Ross,Mad,6,4
Ross.,Susan,Neutral,6,5
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",Ross,Neutral,6,6
Dr. Oberman.,Carol,Neutral,6,7
..Dr. Oberman. Okay. And is he-,Ross,Neutral,6,8
She.,Susan,Neutral,6,9
"-she, of course, she- uh- familiar with our.. special situation?",Ross,Neutral,6,10
"Yes, and she's very supportive.",Carol,Neutral,6,11
"Okay, that's great. No, I'm- Oh.",Ross,Neutral,6,12
Thanks.,Carol,Neutral,6,13
"Quack, quack..",Ross,Joyful,6,14
Ross? That opens my cervix.,Carol,Scared,6,15
Barry?,Rachel,Neutral,7,0
C'mon in.,Barry,Neutral,7,1
Are you sure?,Rachel,Scared,7,2
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Barry,Neutral,7,3
Huh?!,Robbie,Scared,7,4
"So, how ya doin?",Barry,Peaceful,7,5
I'm- uh- I'm okay... You look great!,Rachel,Sad,7,6
"Yeah, well..",Barry,Neutral,7,7
"Dr. Farber, Jason Greenstein's gagging.",Bernice,Neutral,7,8
Be right there. Be back in a sec.,Barry,Neutral,7,9
I dumped him.,Rachel,Sad,7,11
Okay.,Robbie,Neutral,7,12
"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",Ross,Scared,8,0
Give me a 'for instance'.,Carol,Mad,8,1
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Ross,Scared,8,2
Marlon-,Carol,Powerful,8,3
Marlon?!,Ross,Mad,8,4
"-if it's a boy, Minnie if it's a girl.",Carol,Powerful,8,5
...As in Mouse?,Ross,Mad,8,6
As in my grandmother.,Carol,Neutral,8,7
"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Ross,Scared,8,8
Julia..,Carol,Neutral,8,9
We agreed on Minnie.,Susan,Powerful,8,10
"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",Ross,Powerful,8,11
Sorry about that. So. What have you been up to?,Barry,Neutral,9,0
"Oh, not much. I-I got a job.",Rachel,Scared,9,1
"Oh, that's great.",Barry,Joyful,9,2
Why are- why are you so tanned?,Rachel,Scared,9,3
"Oh, I, uh- I went to Aruba.",Barry,Scared,9,4
Oh no. You went on our honeymoon alone?,Rachel,Mad,9,5
"No. I went with, uh.. Now, this may hurt.",Barry,Neutral,9,6
Me?!,Robbie,Neutral,9,7
No! I went with Mindy.,Barry,Scared,9,8
"Mindy?! My maid of honour, Mindy?!",Rachel,Mad,9,9
"Yeah, well, uh, we're kind of a thing now.",Barry,Scared,9,10
"Oh! Well, um.. You've got plugs!",Rachel,Mad,9,11
Careful! They haven't quite taken yet.,Barry,Mad,9,12
And you've got lenses! But you hate sticking your finger in your eye!,Rachel,Mad,9,13
"Not for her. Listen, I really wanted to thank you.",Barry,Peaceful,9,14
Okay..,Rachel,Mad,9,15
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",Barry,Neutral,9,16
Wow.,Rachel,Scared,9,17
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",Barry,Joyful,9,18
What?,Rachel,Scared,9,19
Me.,Robbie,Sad,9,20
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",Rachel,Sad,9,21
"Well, thank you for giving it back.",Barry,Sad,9,22
Hello?!,Robbie,Scared,9,24
"Oh, please! What's wrong with Helen?",Susan,Mad,10,0
Helen Geller? I don't think so.,Ross,Mad,10,1
Hello? It's not gonna be Helen Geller.,Carol,Powerful,10,2
Thank you!,Ross,Powerful,10,3
"No, I mean it's not Geller.",Carol,Powerful,10,4
"What, it's gonna be Helen Willick?",Ross,Mad,10,5
"No, actually, um, we talked about Helen Willick-Bunch.",Carol,Neutral,10,6
"Well, wait a minute, wha- why is she in the title?",Ross,Mad,10,7
It's my baby too.,Susan,Powerful,10,8
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",Ross,Mad,10,9
"Yeah, and we all know what a challenge that is!",Susan,Mad,10,10
"All right, you two, stop it!",Carol,Mad,10,11
"No no no, she gets a credit, hey, I'm in there too.",Ross,Mad,10,12
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,Carol,Neutral,10,13
"Of course not, I'm... suggesting Geller-Willick-Bunch.",Ross,Powerful,10,14
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",Susan,Mad,10,15
"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",Ross,Mad,10,16
Knock knock!How are we today? Any nausea?,Dr.,Neutral,10,17
Yeah. Yeah. A little.,#ALL#,Neutral,10,18
"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",Dr.,Neutral,10,19
"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.",Ross,Sad,10,20
Oh my God.,Ross,Joyful,10,22
Look at that.,Susan,Joyful,10,23
I know.,Carol,Joyful,10,24
Well? Isn't that amazing?,Ross,Joyful,11,0
What are we supposed to be seeing here?,Joey,Neutral,11,1
"I dunno, but.. I think it's about to attack the Enterprise.",Chandler,Joyful,11,2
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",Phoebe,Joyful,11,3
"Then don't do that, alright?",Ross,Mad,11,4
Okay!,Phoebe,Neutral,11,5
Monica. Whaddya think?,Ross,Neutral,11,6
Mm-hmm.,Monica,Sad,11,7
Wh- are you welling up?,Ross,Neutral,11,8
No.,Monica,Neutral,11,9
"You are, you're welling up.",Ross,Powerful,11,10
Am not!,Monica,Mad,11,11
You're gonna be an aunt.,Ross,Joyful,11,12
Oh shut up!,Monica,Joyful,11,13
"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.",Rachel,Mad,11,14
Hi guys!,Phoebe,Joyful,1,0
"Hey, Pheebs! Hi!",#ALL#,Joyful,1,1
"Hey. Oh, oh, how'd it go?",Ross,Joyful,1,2
"Um, not so good. He walked me to the subway and said 'We should do this again!'",Phoebe,Sad,1,3
Ohh. Ouch.,#ALL#,Sad,1,4
"What? He said 'we should do it again', that's good, right?",Rachel,Neutral,1,5
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",Monica,Neutral,1,6
Since when?,Rachel,Neutral,1,7
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Joey,Neutral,1,8
Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,Chandler,Neutral,1,9
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",Phoebe,Mad,1,10
And everybody knows this?,Rachel,Neutral,1,11
Yeah. Cushions the blow.,Joey,Neutral,1,12
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",Chandler,Neutral,1,13
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",Ross,Neutral,1,14
"Uh, Ross.",Monica,Neutral,1,15
"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!",Ross,Scared,1,16
"""So how does it feel knowing you're about to die?""",Chandler,Neutral,2,0
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",Joey,Peaceful,2,1
"Hey, that was really good!",Chandler,Joyful,2,2
Thanks! Let's keep going.,Joey,Powerful,2,3
"Okay. ""So. Whaddya want from me, Damone, huh?""",Chandler,Neutral,2,4
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",Joey,Neutral,2,5
"""Smoke away.""",Chandler,Neutral,2,6
I think this is probably why Damone smokes in his cell alone.,Chandler,Neutral,2,8
What?,Joey,Scared,2,9
Relax your hand!,Chandler,Powerful,2,10
Not so much!,Chandler,Powerful,2,12
Whoah!,Joey,Scared,2,13
Hey!,Chandler,Powerful,2,14
Hey!,Joey,Powerful,2,15
"Alright, now try taking a puff.",Chandler,Neutral,2,16
Alright.. okay. No. Give it to me.,Chandler,Neutral,2,18
"No no no, I am not giving you a cigarette.",Joey,Neutral,2,19
